Liczba zwierzaków,Liczba pól z trawą,Liczba pustych pól, Najpopularniejszy gen, Średnia energia, Średnia liczba dzieci, Średni czas życia martwych zwierzaków
10,5,22,4,4.0,0.0,0.0,
10,10,20,4,3.0,0.0,0.0,
10,12,20,4,2.6,0.0,0.0,
10,16,12,4,1.8,0.0,0.0,
10,18,10,4,1.4,0.0,0.0,
6,20,12,7,2.33,0.0,5.0,
6,22,10,7,2.33,0.0,5.0,
5,24,11,7,3.0,0.0,5.4,
5,27,6,7,2.8,0.0,5.4,
3,29,6,7,5.67,0.0,6.43,
3,31,3,7,6.67,0.0,6.43,
3,33,2,7,7.67,0.0,6.43,
3,36,0,7,7.33,0.0,6.43,
3,36,0,7,8.33,0.0,6.43,
3,36,0,7,9.33,0.0,6.43,
3,36,0,7,10.33,0.0,6.43,
3,36,0,7,11.33,0.0,6.43,
3,36,0,7,12.33,0.0,6.43,
3,36,0,7,13.33,0.0,6.43,
3,36,0,7,14.33,0.0,6.43,
3,36,0,7,15.33,0.0,6.43,
3,36,0,7,16.33,0.0,6.43,
3,36,0,7,17.33,0.0,6.43,
3,36,0,7,18.33,0.0,6.43,
3,36,0,7,19.33,0.0,6.43,
3,36,0,7,20.33,0.0,6.43,
3,36,0,7,21.33,0.0,6.43,
3,36,0,7,22.33,0.0,6.43,
3,36,0,7,23.33,0.0,6.43,
3,36,0,7,24.33,0.0,6.43,
3,36,0,7,25.33,0.0,6.43,
3,36,0,7,26.33,0.0,6.43,
3,36,0,7,27.33,0.0,6.43,
3,36,0,7,28.33,0.0,6.43,
3,36,0,7,29.33,0.0,6.43,
3,36,0,7,30.33,0.0,6.43,
3,36,0,7,31.33,0.0,6.43,
3,36,0,7,32.33,0.0,6.43,
3,36,0,7,33.33,0.0,6.43,
3,36,0,7,34.33,0.0,6.43,
3,36,0,7,35.33,0.0,6.43,
3,36,0,7,36.33,0.0,6.43,
3,36,0,7,37.33,0.0,6.43,
4,36,0,7,28.25,0.5,6.43,
4,36,0,7,28.75,0.5,6.43,
4,36,0,7,29.25,0.5,6.43,
4,36,0,7,29.5,1.0,5.88,
4,36,0,7,30.5,1.0,5.88,
5,36,0,7,24.8,1.2,5.88,
5,36,0,7,25.4,1.2,5.88,
5,36,0,7,26.0,1.2,5.88,
5,36,0,7,27.0,1.2,5.88,
5,36,0,7,27.2,1.2,5.88,
5,36,0,7,28.2,1.2,5.88,
5,36,0,7,28.8,1.2,5.88,
6,36,0,7,24.17,1.33,5.88,
6,36,0,7,24.83,1.33,5.88,
6,36,0,7,25.17,1.33,5.88,
6,35,0,7,26.17,1.33,5.88,
6,34,0,7,27.17,1.33,5.88,
6,33,1,7,28.17,1.33,5.88,
7,34,1,7,24.43,1.43,5.88,
7,34,0,7,24.86,1.43,5.88,
8,33,2,7,22.38,1.5,5.88,
8,34,0,7,22.38,1.5,5.88,
8,34,0,7,22.63,1.5,5.88,
8,32,0,7,23.38,1.5,5.88,
8,33,0,7,23.38,1.5,5.88,
7,33,0,7,27.14,1.29,7.56,
7,32,1,7,27.86,1.29,7.56,
7,32,2,7,28.29,1.29,7.56,
7,32,2,7,28.71,1.29,7.56,
7,32,1,7,29.14,1.29,7.56,
7,32,1,7,29.57,1.29,7.56,
7,30,3,7,30.57,1.29,7.56,
7,30,3,7,31.0,1.29,7.56,
7,32,0,7,30.86,1.29,7.56,
8,32,2,7,27.38,1.38,7.56,
8,32,1,7,27.63,1.38,7.56,
8,30,0,7,28.38,1.38,7.56,
8,30,1,7,28.63,1.38,7.56,
9,30,3,7,25.67,1.44,7.56,
9,28,3,7,26.22,1.44,7.56,
9,27,5,7,26.56,1.44,7.56,
9,26,7,7,27.0,1.67,7.0,
9,25,6,7,27.33,1.67,7.0,
10,25,7,7,24.7,1.7,7.0,
10,23,6,7,25.1,1.7,7.0,
12,24,6,7,20.75,1.75,7.0,
12,26,5,7,20.33,1.92,6.73,
12,29,3,7,19.67,1.92,6.73,
11,32,3,7,20.91,2.27,6.0,
10,30,1,7,23.4,2.5,5.71,
10,29,2,7,23.7,2.6,7.8,
10,28,2,7,23.9,2.6,7.8,
10,24,5,7,24.7,2.6,7.8,
10,23,6,7,24.9,2.6,7.8,
10,21,8,7,25.3,2.6,7.8,
10,24,3,7,24.7,2.6,7.8,
10,24,4,7,24.7,2.6,7.8,
9,23,7,7,27.78,2.89,7.69,
11,25,5,7,22.45,2.73,7.69,
11,25,6,7,22.36,2.73,7.69,
11,24,6,7,22.45,2.73,7.69,
9,23,7,7,27.78,3.33,7.06,
9,23,8,7,27.89,3.33,7.06,
10,25,6,7,24.8,3.2,7.06,
9,24,8,7,27.89,3.56,7.74,
8,26,7,7,31.13,4.0,8.85,
8,26,7,7,31.38,4.0,8.85,
8,27,4,7,31.38,4.0,8.85,
8,28,2,7,31.38,4.0,8.85,
9,29,3,7,27.89,3.78,8.85,
9,28,3,7,28.22,3.78,8.85,
9,28,4,7,28.33,3.78,8.85,
8,28,4,7,32.13,4.13,9.52,
8,28,4,7,32.38,4.13,9.52,
9,28,5,7,29.0,3.89,9.52,
9,27,3,7,29.33,3.89,9.52,
9,26,5,7,29.67,3.89,9.52,
10,27,3,7,26.6,3.7,9.52,
12,27,5,7,22.17,3.42,9.52,
12,24,3,7,22.5,3.42,9.52,
12,22,7,7,22.75,3.58,9.18,
13,21,6,7,21.0,3.46,9.18,
13,21,6,7,20.77,3.46,9.18,
12,23,8,7,22.08,3.92,8.75,
12,21,9,7,22.25,3.92,8.75,
13,23,6,7,20.08,3.77,8.75,
12,22,9,7,21.83,4.25,8.31,
12,23,7,4,21.58,4.17,8.85,
12,23,7,4,21.42,4.17,8.85,
